websites,hotelFax,hotelPhone,hotelAddress,hotelPrivacy,hotelAwards,hotelAbout,hotelMail,hotelMailHyper,hotelRoom,hotelActivities,hotelRestaurant,hotelMeeting,hotelGallery,hotelMap,hotelWeather,hotelTime,hotelPress,hotelSitemap,hotelUser,hotelFaq,hotelTrip,hotelOffers,hotelSearch,hotelPhoneHyper,hotelSecure,hotelCovid,hotelApp,hotelLiveSup,hotelSocial,hotelVideo,hotelVirtual,hotelNewsletter,hotelConsent,hotelOnRezerv,hotelCookie,hotelActiv,hotelPrice,hotelLang
https://www.titanic.com.tr/tr/titanic-port-bakirkoy,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2
https://www.wyndhamhotels.com/tr-tr/tryp/istanbul-turkey/tryp-istanbul-basin-ekspres/overview,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2
https://www.tuyappalas.com/tr,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,2,2,1,2,1,2
https://www.wishmore.com.tr/anasayfa,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,2
https://www.wowhotelsistanbul.com/istanbul-hotel,2,2,2,1,1,2,1,2,2,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,1,1,1,2
https://wyndhamgrandistanbuleurope.com/,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2
https://www.wyndhamgrandkalamis.com/anasayfa,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1
https://www.wyndhamgrandlevent.com/,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,1
https://www.zorlugrand.com/,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2
http://www.hotelallseasons.com/TR,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1
http://www.amethysthotel.com/tr/,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,1
https://www.armadahotel.com.tr/,2,2,2,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,2
https://www.assosedengardens.com/tr,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,1,2,1,2,1,2
https://www.avantgardecollection.com/avantgarde-hotel-taksim.tr.aspx,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,2
https://www.baronhotel.com.tr/,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1
https://www.berrhotel.com/,1,2,2,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1
https://www.bilekistanbul.com/tr,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2
https://www.blackbirdhotel.com/,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1
https://www.hotelbulvarpalas.com/tr/,2,2,2,1,1,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1
